,id,im_1,im_2,im_1_local,im_2_local,cap_1,cap_2,category_1,category_2,BiomedCLIP_sim,DINO_sim,question,option_A,option_B,im_1_correct,im_2_correct,AI_question,AI_option_A,AI_option_B
42,10043,train/radiology/images/ROCO_52097.jpg,validation/radiology/images/ROCO_63793.jpg,20098,20162, Sagittal T2 weighted MRI without contrast 12-month after surgery just shows linear high signal intensity in the upper cervical cord., T2 weighted sagittal MRI of the cervical spine without contrast. There is hyperintesity underneath the tectorial membrane extending from C2 to the upper margin of the clivus with apparent discontinuity of the apical ligament.,['Spinal'],['Spinal'],0.912335,0.6516799,What abnormality is noted in the cervical spine on the T2 weighted sagittal MRI?,Rounded high signal intensity in the upper cervical cord,Hyperintensity underneath the tectorial membrane extending from C2 to the upper margin of the clivus,A,B,What abnormality is noted in the cervical spine on the T2 weighted sagittal MRI?,Linear high signal intensity in the upper cervical cord,Hyperintensity underneath the tectorial membrane extending from C2 to the upper margin of the clivus
43,10044,train/radiology/images/ROCO_52999.jpg,train/radiology/images/ROCO_66035.jpg,20107,20047, Left main CAA. Located distally near the bifurcation into the left anterior descending artery and the left circumflex artery., Subocclusive left anterior descending artery incidentally detected in an asymptomatic patient with anterior wall hypocontractility on routine echocardiographic exam 8 months after transplantation.,['Cardiac'],['Cardiac'],0.9497228,0.4222572,What condition is visible in the image?,Subocclusive left anterior descending artery,Left main coronary artery aneurysm (CAA),B,A,What condition is visible in the image?,Subocclusive left anterior descending artery,Left main coronary artery aneurysm (CAA)
44,10045,train/radiology/images/ROCO_66035.jpg,validation/radiology/images/ROCO_62185.jpg,20047,20015, Subocclusive left anterior descending artery incidentally detected in an asymptomatic patient with anterior wall hypocontractility on routine echocardiographic exam 8 months after transplantation., Antero-posterior (AP) cranial view showing post procedural TIMI III flow of left anterior descending (LAD) artery.,['Cardiac'],['Cardiac'],0.9157221,0.4376968,What is the flow status of the left anterior descending (LAD) artery?,TIMI III,Subocclusive,B,A,What is the flow status of the left anterior descending (LAD) artery?,TIMI III,Subocclusive
45,10046,train/radiology/images/ROCO_17031.jpg,train/radiology/images/ROCO_66035.jpg,20217,20047, Left anterior oblique view of the left coronary artery. A JL4 catheter is seen engaging the left coronary artery. The ostial left main is tapered and has a 70% stenosis., Subocclusive left anterior descending artery incidentally detected in an asymptomatic patient with anterior wall hypocontractility on routine echocardiographic exam 8 months after transplantation.,['Cardiac'],['Cardiac'],0.9121367,0.5009285,What is the condition of the left main coronary artery?,Tapered with 70% stenosis,Subocclusive,A,B,What is the condition of the left main coronary artery?,Tapered with 70% stenosis,Subocclusive
46,10047,test/radiology/images/ROCO_77968.jpg,train/radiology/images/ROCO_18204.jpg,20092,20117," It shows woven coronary artery anomaly at the proximal segment of the left coronary arteries in the right anterior oblique. Also, it reveals normal blood flow just distal segment of the anomaly (case 3)."," Critical narrowing of left anterior descending artery in the presented patient close to the apical region with flow cessation possibly with residual thrombus, no evidence of significant narrowing in other vessels.",['Cardiac'],['Cardiac'],0.9226766,0.5256287,What is observed in the proximal segment of the left coronary arteries?,Woven coronary artery anomaly,Critical narrowing,A,B,What is observed in the proximal segment of the left coronary arteries?,Woven coronary artery anomaly,Critical narrowing
47,10048,train/radiology/images/ROCO_18204.jpg,train/radiology/images/ROCO_49208.jpg,20117,20082," Critical narrowing of left anterior descending artery in the presented patient close to the apical region with flow cessation possibly with residual thrombus, no evidence of significant narrowing in other vessels."," Left coronary angiography reveals severe stenosis of the proximal LAD and normal circumflex artery. Additionally, blood flow is observed into the LIMA from the LAD (right anterior oblique projection). LAD, left anterior descending; LIMA, left internal mammary artery.",['Cardiac'],['Cardiac'],0.9093515,0.5324053,What is the condition of the left anterior descending artery (LAD) in the patient?,Critical narrowing close to the apical region,Severe stenosis of the proximal LAD,A,B,What is the condition of the left anterior descending artery (LAD) in the patient?,Critical narrowing close to the apical region,Severe stenosis of the proximal LAD
48,10049,train/radiology/images/ROCO_18204.jpg,train/radiology/images/ROCO_68615.jpg,20117,20086," Critical narrowing of left anterior descending artery in the presented patient close to the apical region with flow cessation possibly with residual thrombus, no evidence of significant narrowing in other vessels.", Subacute stent thrombosis: coronary angiography showed total occlusion of middle left anterior descending artery.,['Cardiac'],['Cardiac'],0.9416296,0.6309358,What is the condition of the left anterior descending artery in the presented patient?,Total occlusion,Critical narrowing with flow cessation,B,A,What is the condition of the left anterior descending artery in the presented patient?,Total occlusion,Critical narrowing with flow cessation
49,10050,train/radiology/images/ROCO_18204.jpg,train/radiology/images/ROCO_63659.jpg,20117,20075," Critical narrowing of left anterior descending artery in the presented patient close to the apical region with flow cessation possibly with residual thrombus, no evidence of significant narrowing in other vessels.", RAO cranial view post thrombosuction showing fully patent LAD and D2 without any underlying atherosclerosis.,['Cardiac'],['Cardiac'],0.9499079,0.5376836,Is there evidence of significant narrowing in the left anterior descending artery?,Yes,No,A,B,Is there evidence of significant narrowing in the left anterior descending artery?,Yes,No
50,10051,train/radiology/images/ROCO_18204.jpg,train/radiology/images/ROCO_51660.jpg,20117,20020," Critical narrowing of left anterior descending artery in the presented patient close to the apical region with flow cessation possibly with residual thrombus, no evidence of significant narrowing in other vessels.", Right Coronary Artery Originating from the midportion Left Anterior Descending Artery with coursing to the familiar area of the RCA.,['Cardiac'],['Cardiac'],0.9357681,0.603103,Is there any evidence of significant narrowing in vessels other than the left anterior descending artery?,No,Yes,A,B,Is there any evidence of significant narrowing in vessels other than the left anterior descending artery?,No,Yes
51,10052,train/radiology/images/ROCO_18204.jpg,validation/radiology/images/ROCO_22682.jpg,20117,20104," Critical narrowing of left anterior descending artery in the presented patient close to the apical region with flow cessation possibly with residual thrombus, no evidence of significant narrowing in other vessels.", Post PCI: middle left anterior descending artery was successfully addressed by PCI performed with stent implantation. PCI: percutaneous coronary intervention.,['Cardiac'],['Cardiac'],0.9076269,0.4788154,What is the condition of the left anterior descending artery close to the apical region?,Successfully treated with stent implantation,Critical narrowing with flow cessation,B,A,What is the condition of the left anterior descending artery close to the apical region?,Successfully treated with stent implantation,Critical narrowing with flow cessation
52,10053,train/radiology/images/ROCO_18204.jpg,train/radiology/images/ROCO_20723.jpg,20117,20156," Critical narrowing of left anterior descending artery in the presented patient close to the apical region with flow cessation possibly with residual thrombus, no evidence of significant narrowing in other vessels.", Coronary angiography. Posteroanterior cranial view showing contained dissection of mid left anterior descending artery (LAD).,['Cardiac'],['Cardiac'],0.9107299,0.6250993,What is the condition of the left anterior descending artery?,Critical narrowing with flow cessation and possible residual thrombus,Contained dissection in the mid-segment,A,B,What is the condition of the left anterior descending artery?,Critical narrowing with flow cessation and possible residual thrombus,Contained dissection in the mid-segment
53,10054,train/radiology/images/ROCO_18204.jpg,validation/radiology/images/ROCO_58591.jpg,20117,20151," Critical narrowing of left anterior descending artery in the presented patient close to the apical region with flow cessation possibly with residual thrombus, no evidence of significant narrowing in other vessels.", Coronary angiography showed slow coronary flow of the circumflex (Cx) and left anterior descending (LAD) coronary arteries.,['Cardiac'],['Cardiac'],0.9337757,0.6388644,Which artery shows critical narrowing with flow cessation?,Left anterior descending artery,Circumflex artery,A,B,Which artery shows critical narrowing with flow cessation?,Left anterior descending artery,Circumflex artery
54,10055,train/radiology/images/ROCO_52702.jpg,train/radiology/images/ROCO_62765.jpg,20030,20130, Initial coronary angiography showed diffuse stenosis in the proximal and mid portions of the LAD. LAD: left anterior descending artery., RCA CTO - Multiple parallel septal collateral channels and also distal epicardial collaterals from LAD to Right posterolateral branch.,['Cardiac'],['Cardiac'],0.9431102,0.6034768,Which condition is observed in the visible coronary artery?,Chronic total occlusion (CTO),Diffuse stenosis,B,A,Which condition is observed in the visible coronary artery?,Chronic total occlusion (CTO),Diffuse stenosis
55,10056,test/radiology/images/ROCO_77968.jpg,train/radiology/images/ROCO_52702.jpg,20092,20030," It shows woven coronary artery anomaly at the proximal segment of the left coronary arteries in the right anterior oblique. Also, it reveals normal blood flow just distal segment of the anomaly (case 3).", Initial coronary angiography showed diffuse stenosis in the proximal and mid portions of the LAD. LAD: left anterior descending artery.,['Cardiac'],['Cardiac'],0.9269782,0.4539089,Which coronary artery segment shows an anomaly or abnormality?,Proximal and mid portions of the left anterior descending artery,Proximal segment of the left coronary arteries,B,A,Which coronary artery segment shows an anomaly or abnormality?,Proximal and mid portions of the left anterior descending artery,Proximal segment of the left coronary arteries
56,10057,train/radiology/images/ROCO_52702.jpg,train/radiology/images/ROCO_72230.jpg,20030,20167, Initial coronary angiography showed diffuse stenosis in the proximal and mid portions of the LAD. LAD: left anterior descending artery., Left coronary artery showing the dissecting lesion after dilation with a 4.0 × 15-mm Quantum Marverick balloon catheter,['Cardiac'],['Cardiac'],0.9365604,0.573464,What feature is prominently shown in the left coronary artery?,Dissecting lesion after balloon dilation,Diffuse stenosis,B,A,What feature is prominently shown in the left coronary artery?,Dissecting lesion after balloon dilation,Diffuse stenosis
57,10058,train/radiology/images/ROCO_52702.jpg,validation/radiology/images/ROCO_67837.jpg,20030,20119, Initial coronary angiography showed diffuse stenosis in the proximal and mid portions of the LAD. LAD: left anterior descending artery., Coronary angiogram showing left main aneurysm (14 × 28) with obstructive leison at LAD ostial level.,['Cardiac'],['Cardiac'],0.9054396,0.4966891,What is the nature of the abnormality present in the left anterior descending artery (LAD)?,Diffuse stenosis in the proximal and mid portions,Obstructive lesion at the ostial level,A,B,What is the nature of the abnormality present in the left anterior descending artery (LAD)?,Diffuse stenosis in the proximal and mid portions,Obstructive lesion at the ostial level
58,10059,train/radiology/images/ROCO_17031.jpg,train/radiology/images/ROCO_52702.jpg,20217,20030, Left anterior oblique view of the left coronary artery. A JL4 catheter is seen engaging the left coronary artery. The ostial left main is tapered and has a 70% stenosis., Initial coronary angiography showed diffuse stenosis in the proximal and mid portions of the LAD. LAD: left anterior descending artery.,['Cardiac'],['Cardiac'],0.9069283,0.4063716,What is the extent of the stenosis seen in the coronary artery?,Diffuse stenosis in the proximal and mid portions of the LAD,70% stenosis in the ostial left main,B,A,What is the extent of the stenosis seen in the coronary artery?,Diffuse stenosis in the proximal and mid portions of the LAD,70% stenosis in the ostial left main
59,10060,train/radiology/images/ROCO_04544.jpg,train/radiology/images/ROCO_52702.jpg,20200,20030, The left coronary angiogram in a right anterior oblique caudal projection showed a significant ostial lesion (arrow) in the left circumflex coronary artery., Initial coronary angiography showed diffuse stenosis in the proximal and mid portions of the LAD. LAD: left anterior descending artery.,['Cardiac'],['Cardiac'],0.9056691,0.5284399,Where is the significant lesion located?,Ostial lesion in the left circumflex coronary artery,Diffuse stenosis in the proximal and mid portions of the LAD,A,B,Where is the significant lesion located?,Ostial lesion in the left circumflex coronary artery,Diffuse stenosis in the proximal and mid portions of the LAD
60,10061,train/radiology/images/ROCO_52702.jpg,train/radiology/images/ROCO_68615.jpg,20030,20086, Initial coronary angiography showed diffuse stenosis in the proximal and mid portions of the LAD. LAD: left anterior descending artery., Subacute stent thrombosis: coronary angiography showed total occlusion of middle left anterior descending artery.,['Cardiac'],['Cardiac'],0.9307874,0.595125,What is the condition of the left anterior descending artery (LAD)?,Total occlusion of the middle portion,Diffuse stenosis in the proximal and mid portions,B,A,What is the condition of the left anterior descending artery (LAD)?,Total occlusion of the middle portion,Diffuse stenosis in the proximal and mid portions
61,10062,train/radiology/images/ROCO_52702.jpg,train/radiology/images/ROCO_63659.jpg,20030,20075, Initial coronary angiography showed diffuse stenosis in the proximal and mid portions of the LAD. LAD: left anterior descending artery., RAO cranial view post thrombosuction showing fully patent LAD and D2 without any underlying atherosclerosis.,['Cardiac'],['Cardiac'],0.9247606,0.4522819,What is the condition of the LAD (left anterior descending artery)?,Fully patent without any underlying atherosclerosis,Diffuse stenosis in the proximal and mid portions,B,A,What is the condition of the LAD (left anterior descending artery)?,Fully patent without any underlying atherosclerosis,Diffuse stenosis in the proximal and mid portions
62,10063,train/radiology/images/ROCO_52702.jpg,validation/radiology/images/ROCO_22682.jpg,20030,20104, Initial coronary angiography showed diffuse stenosis in the proximal and mid portions of the LAD. LAD: left anterior descending artery., Post PCI: middle left anterior descending artery was successfully addressed by PCI performed with stent implantation. PCI: percutaneous coronary intervention.,['Cardiac'],['Cardiac'],0.9080231,0.410202,What is the condition of the left anterior descending artery (LAD)?,Diffuse stenosis in the proximal and mid portions,Successfully treated with stent implantation,A,B,What is the condition of the left anterior descending artery (LAD)?,Diffuse stenosis in the proximal and mid portions,Successfully treated with stent implantation
63,10064,train/radiology/images/ROCO_02865.jpg,train/radiology/images/ROCO_52702.jpg,20028,20030, Coronary angiogram after balloon dilatation showed no residual stenosis and relatively good distal flow., Initial coronary angiography showed diffuse stenosis in the proximal and mid portions of the LAD. LAD: left anterior descending artery.,['Cardiac'],['Cardiac'],0.9145216,0.5216634,What condition is observed in the coronary artery?,Diffuse stenosis,No significant stenosis,B,A,What condition is observed in the coronary artery?,Diffuse stenosis,No residual stenosis
64,10065,train/radiology/images/ROCO_20723.jpg,train/radiology/images/ROCO_52702.jpg,20156,20030, Coronary angiography. Posteroanterior cranial view showing contained dissection of mid left anterior descending artery (LAD)., Initial coronary angiography showed diffuse stenosis in the proximal and mid portions of the LAD. LAD: left anterior descending artery.,['Cardiac'],['Cardiac'],0.9076542,0.5132412,What condition is observed in the left anterior descending artery (LAD)?,Contained dissection,Diffuse stenosis,A,B,What condition is observed in the left anterior descending artery (LAD)?,Contained dissection,Diffuse stenosis
65,10066,train/radiology/images/ROCO_52702.jpg,validation/radiology/images/ROCO_58591.jpg,20030,20151, Initial coronary angiography showed diffuse stenosis in the proximal and mid portions of the LAD. LAD: left anterior descending artery., Coronary angiography showed slow coronary flow of the circumflex (Cx) and left anterior descending (LAD) coronary arteries.,['Cardiac'],['Cardiac'],0.9323377,0.5926806,Which coronary artery shows diffuse stenosis?,Circumflex artery (Cx),Left anterior descending artery (LAD),B,A,Which coronary artery shows diffuse stenosis?,Circumflex artery (Cx),Left anterior descending artery (LAD)
66,10067,train/radiology/images/ROCO_52702.jpg,train/radiology/images/ROCO_56364.jpg,20030,20227, Initial coronary angiography showed diffuse stenosis in the proximal and mid portions of the LAD. LAD: left anterior descending artery., Rich collateral formations between left circumflex artery and right lung assumed as multiple fistulas.,['Cardiac'],['Cardiac'],0.9217244,0.4859451,What notable vascular condition is observed in this image?,Diffuse stenosis in the proximal and mid portions of the LAD,Rich collateral formations between left circumflex artery and right lung,A,B,What notable vascular condition is observed in this image?,Diffuse stenosis in the proximal and mid portions of the LAD,Rich collateral formations between left circumflex artery and right lung
67,10068,train/radiology/images/ROCO_52702.jpg,validation/radiology/images/ROCO_70055.jpg,20030,20051, Initial coronary angiography showed diffuse stenosis in the proximal and mid portions of the LAD. LAD: left anterior descending artery., Coronary angiography depicting the severely tortuous coronary artery fistula originating from the proximal left anterior descending artery.,['Cardiac'],['Cardiac'],0.9675555,0.6606767,What is the main abnormality observed in the coronary artery?,Diffuse stenosis,Severely tortuous coronary artery fistula,A,B,What is the main abnormality observed in the coronary artery?,Diffuse stenosis,Severely tortuous coronary artery fistula
68,10069,train/radiology/images/ROCO_10245.jpg,train/radiology/images/ROCO_41444.jpg,20210,20211, Angiogram of the deployment of the coils in the distal left internal mammary artery. The catheter is accessing the LIMA via the left subclavian artery., Flow guided pacing catheter in the right ventricular outflow tract. This is then brought down to the right ventricular apex for pacing. Note balloon at tip of flow guided catheter. The pigtail catheter at the apex of the arch of the aorta.,"['Cardiac', 'Vascular']","['Cardiac', 'Vascular']",0.9224492,0.703913,What type of catheter is visible in the image?,Pacing catheter,Catheter for coil deployment,B,A,What type of catheter is visible in the image?,Pacing catheter,Catheter for coil deployment
69,10070,train/radiology/images/ROCO_07577.jpg,train/radiology/images/ROCO_11801.jpg,20221,20013," Endoscopic ultrasonography showing a homogeneous, hypoechoic, clearly demarcated mass in the submuscosal layer."," Endoscopic ultrasound image of the lesion. Endoscopic ultrasonography shows homogenous, hypoechoic lesion within the mucosal layer.",['Gastrointestinal'],['Gastrointestinal'],0.910307,0.4458682,In which layer is the lesion located?,Submucosal layer,Mucosal layer,A,B,In which layer is the lesion located?,Submucosal layer,Mucosal layer
70,10071,train/radiology/images/ROCO_11801.jpg,train/radiology/images/ROCO_25355.jpg,20013,20007," Endoscopic ultrasound image of the lesion. Endoscopic ultrasonography shows homogenous, hypoechoic lesion within the mucosal layer.", Endoscopic ultrasound image showing a linear echogenic structure with central lucency without acoustic shadow effect in common bile duct,['Gastrointestinal'],['Gastrointestinal'],0.9101231,0.563976,What type of echogenicity does the lesion in the image demonstrate?,Linear echogenic structure with central lucency,"Homogeneous, hypoechoic lesion",B,A,What type of echogenic structure is visible in the image?,Linear echogenic structure with central lucency,"Homogeneous, hypoechoic lesion"
71,10072,train/radiology/images/ROCO_11801.jpg,train/radiology/images/ROCO_49350.jpg,20013,20175," Endoscopic ultrasound image of the lesion. Endoscopic ultrasonography shows homogenous, hypoechoic lesion within the mucosal layer.", Endoscopic ultrasound demonstrating the polypoid lesion with extension through the submucosal layer.,['Gastrointestinal'],['Gastrointestinal'],0.9014866,0.4970994,What layer is the lesion primarily located in?,Mucosal layer,Submucosal layer,A,B,What layer is the lesion primarily located in?,Mucosal layer,Submucosal layer
72,10073,train/radiology/images/ROCO_11801.jpg,validation/radiology/images/ROCO_77116.jpg,20013,20165," Endoscopic ultrasound image of the lesion. Endoscopic ultrasonography shows homogenous, hypoechoic lesion within the mucosal layer."," EUS demonstrating a diffusely enlarged pancreas, especially in the head and neck region, with normal, non-dilated pancreatic duct measuring 1.6 mm, and no focal mass lesion.",['Gastrointestinal'],['Gastrointestinal'],0.910176,0.5789487,What is the ultrasound characteristics of the lesion seen in the image?,Diffusely enlarged with normal duct,Homogeneous and hypoechoic,B,A,What is the echogenicity characteristic of the lesion seen in the image?,Diffusely enlarged with normal duct,Homogeneous and hypoechoic
73,10074,train/radiology/images/ROCO_11801.jpg,train/radiology/images/ROCO_30230.jpg,20013,20052," Endoscopic ultrasound image of the lesion. Endoscopic ultrasonography shows homogenous, hypoechoic lesion within the mucosal layer.", Aspect endoscopique d'une formation tumorale sous muqueuse d'allure kystique mesurant 32 mm sans atteinte des organes de voisinage ni des ganglions d'allure suspecte,['Gastrointestinal'],['Gastrointestinal'],0.9066855,0.5914181,What is the echogenicity of the lesion?,"Homogenous, hypoechoic","Anechoic, non-hypoechoic",A,B,What is the echogenicity of the lesion?,"Homogenous, hypoechoic","Cystic, non-hypoechoic"
74,10075,train/radiology/images/ROCO_35577.jpg,validation/radiology/images/ROCO_68405.jpg,20105,20133, Post endoscopic treatment; 40 mm coronal MIP reformat of the MRCP. The ampulla of the accessory pancreatic duct is no longer visible., Magnetic resonance cholangiopancreatography image of a 42-year-old woman presenting with a choledochal cyst 68 months after receiving a cholecystectomy.,['Gastrointestinal'],['Gastrointestinal'],0.9014992,0.499892,Is the ampulla of the accessory pancreatic duct visible in the MRCP?,Yes,No,B,A,Is the ampulla of the accessory pancreatic duct visible in the MRCP?,Yes,No
75,10076,train/radiology/images/ROCO_39982.jpg,validation/radiology/images/ROCO_68405.jpg,20071,20133, MRCP showing the cystic dilatation along the lateral wall of the bile duct mimicking a Type II choledochal cyst with GB seen separately., Magnetic resonance cholangiopancreatography image of a 42-year-old woman presenting with a choledochal cyst 68 months after receiving a cholecystectomy.,['Gastrointestinal'],['Gastrointestinal'],0.9012111,0.6491453,Is the gallbladder visualized on this MRCP?,No,Yes,B,A,What is seen separately from the choledochal cyst in this MRCP image?,No gallbladder (GB),Gallbladder (GB)
76,10077,train/radiology/images/ROCO_20933.jpg,train/radiology/images/ROCO_40445.jpg,20068,20189, Endoscopic retrograde cholangiopancreatogram of choledochal cyst (Todani type IVb) and anomalous union of pancreaticobiliary duct (Kimura type I)., Endoscopic retrograde cholangiopancreatography showed common hepatic duct stricture of 2 cm with upstream bilateral intrahepatic ductal dilation.,['Gastrointestinal'],['Gastrointestinal'],0.9113936,0.6635313,What type of anatomical anomaly is visible in the endoscopic retrograde cholangiopancreatography?,Common hepatic duct stricture with upstream bilateral intrahepatic ductal dilation,Choledochal cyst (Todani type IVb) with anomalous union of pancreaticobiliary duct (Kimura type I),B,A,What type of anatomical anomaly is visible in the endoscopic retrograde cholangiopancreatography?,Common hepatic duct stricture with upstream bilateral intrahepatic ductal dilation,Choledochal cyst (Todani type IVb) with anomalous union of pancreaticobiliary duct (Kimura type I)
77,10078,train/radiology/images/ROCO_00986.jpg,train/radiology/images/ROCO_40445.jpg,20149,20189, Endoscopic cholangiopancreatography (ERCP) shows a short duct in the uncinate process and head; the duct of Santorini drains into the minor papilla., Endoscopic retrograde cholangiopancreatography showed common hepatic duct stricture of 2 cm with upstream bilateral intrahepatic ductal dilation.,['Gastrointestinal'],['Gastrointestinal'],0.9293343,0.7344462,What anatomical structure does the duct drain into?,Common hepatic duct,Minor papilla,B,A,What anatomical structure does the duct drain into?,Common hepatic duct,Minor papilla
78,10079,train/radiology/images/ROCO_25927.jpg,train/radiology/images/ROCO_52597.jpg,20001,20126, 56-year-old man with intrahepatic biliary intraductal oncocytic papillary carcinoma. Coronal 3D respiratory triggered MRCP sequence demonstrates the cystic component to be communicating with the dilated intrahepatic biliary tree. Note the irregular lesion (white arrows) is clearly situated with the lumen of the cystic component., Magnetic resonance cholangiopancreatography reveals stricture of the intrahepatic bile ducts with prestenotic dilatation in the left lateral segment (arrows).,['Gastrointestinal'],['Gastrointestinal'],0.9085093,0.5652386,What is the primary pathology observed in the image?,Cystic component communicating with the dilated intrahepatic biliary tree,Stricture of the intrahepatic bile ducts with prestenotic dilatation,A,B,What is the primary feature observed in the image?,Cystic component communicating with the dilated intrahepatic biliary tree,Stricture of the intrahepatic bile ducts with prestenotic dilatation
79,10080,train/radiology/images/ROCO_38374.jpg,train/radiology/images/ROCO_76859.jpg,20205,20037," ERCP demonstrates a normal common bile duct, common hepatic duct and right and left hepatic ducts without evidence of intraluminal filling defects.", During the repeat ERCP a stent was placed in the terminal bile duct. Intrahepatic biliary ducts appear significantly narrowed.,['Gastrointestinal'],['Gastrointestinal'],0.9316707,0.5077195,Is there evidence of a stent placement in the bile duct?,Yes,No,B,A,Is there evidence of a stent placement in the bile duct?,Yes,No
80,10081,train/radiology/images/ROCO_26026.jpg,train/radiology/images/ROCO_46224.jpg,20152,20198," Magnetic resonance cholangiopancreatographic finding. The dorsal pancreatic duct was slightly enlarged with stenosis at the minor papilla. Furthermore, it crossed over the common bile duct. The ventral duct appeared to be normal and there was no communication between the dorsal and ventral ducts, indicating pancreas divisum.", MRCP showing pancreatic cyst in the head of the organ with dilation of the main and branch pancreatic ducts as well as of the extra- intra hepatic biliary tree.,['Gastrointestinal'],['Gastrointestinal'],0.915717,0.5003546,Does the pancreatic duct cross over the common bile duct?,Yes,No,A,B,Does the pancreatic duct cross over the common bile duct?,Yes,No
81,10082,train/radiology/images/ROCO_26026.jpg,train/radiology/images/ROCO_78814.jpg,20152,20116," Magnetic resonance cholangiopancreatographic finding. The dorsal pancreatic duct was slightly enlarged with stenosis at the minor papilla. Furthermore, it crossed over the common bile duct. The ventral duct appeared to be normal and there was no communication between the dorsal and ventral ducts, indicating pancreas divisum."," Thick-slice, T2-weighted MRI showing a dilated main pancreatic duct with smooth aspect of main pancreatic duct wall and bulging ampulla (image courtesy of Dr. Marie Pierre Vullierme, Hôpital Beaujon).",['Gastrointestinal'],['Gastrointestinal'],0.927543,0.568548,What is observed regarding the condition of the main pancreatic duct?,Dilated with smooth aspect of main pancreatic duct wall and bulging ampulla,Slightly enlarged with stenosis at the minor papilla,B,A,What is observed regarding the condition of the main pancreatic duct?,Dilated with smooth aspect of main pancreatic duct wall and bulging ampulla,Slightly enlarged with stenosis at the minor papilla
82,10083,train/radiology/images/ROCO_38374.jpg,train/radiology/images/ROCO_52190.jpg,20205,20009," ERCP demonstrates a normal common bile duct, common hepatic duct and right and left hepatic ducts without evidence of intraluminal filling defects.", Fluoroscopic picture showing contrast cast after embolization of the right portal vein branches. A right external and a left internal-external drain is also placed prior to surgical resection of the right liver lobe,['Gastrointestinal'],['Vascular'],0.9075033,0.4939246,What type of procedure is demonstrated in the image?,ERCP,Embolization,A,B,What type of procedure is demonstrated in the image?,ERCP,Embolization
83,10084,train/radiology/images/ROCO_52190.jpg,validation/radiology/images/ROCO_76809.jpg,20009,20112, Fluoroscopic picture showing contrast cast after embolization of the right portal vein branches. A right external and a left internal-external drain is also placed prior to surgical resection of the right liver lobe, Preoperative Percutaneous Transhepatic Cholangiography (PTC) Showing Biliary Duct Ligation Following Previous Laparoscopic Cholecystectomy,['Vascular'],['Gastrointestinal'],0.9048578,0.4834529,What is the primary procedure observed in the image?,Embolization of the right portal vein branches,Biliary duct ligation,A,B,What is the primary procedure observed in the image?,Embolization of the right portal vein branches,Biliary duct ligation
84,10085,train/radiology/images/ROCO_00124.jpg,train/radiology/images/ROCO_33192.jpg,20010,20041, Endoscopic ultrasonography revealed avascular a heteroechoic submucosal mass at the posterolateral wall of the duodenum., The mass was non-circumferential with poorly defined borders and encompassed approximately 50% of the circumference of the distal rectum.,['Gastrointestinal'],['Gastrointestinal'],0.9059621,0.4389738,Does the mass have poorly defined borders?,Yes,No,B,A,Does the mass have poorly defined borders?,Yes,No
85,10086,train/radiology/images/ROCO_33192.jpg,train/radiology/images/ROCO_61346.jpg,20041,20026, The mass was non-circumferential with poorly defined borders and encompassed approximately 50% of the circumference of the distal rectum.,   Endoscopic ultrasound image obtained with a 12-MHz miniprobe showing a 15-mm hypoechoic round mass with calcification emerging from the gastric muscular layer.,['Gastrointestinal'],['Gastrointestinal'],0.902796,0.4821431,What is the shape of the mass observed?,Hypoechoic round mass,Non-circumferential with poorly defined borders,B,A,What is the shape of the mass observed?,Hypoechoic round mass,Non-circumferential with poorly defined borders
86,10087,train/radiology/images/ROCO_06239.jpg,train/radiology/images/ROCO_45414.jpg,20148,20166, Same patient (patient B) as in Fig. 2. Selective digital subtraction angiogram of the celiac axis showing multiple areas of contrast extravasation from peripheral branches of the splenic artery, Hepatic angiography of the liver shows no definite tumor staining in the liver parenchyme. Lipiodol test injection was performed (Case 2).,['Gastrointestinal'],['Gastrointestinal'],0.9089727,0.641955,What is being observed in the angiogram?,No definite tumor staining in the parenchyme.,Multiple areas of contrast extravasation from peripheral branches of an artery.,B,A,What is being observed in the angiogram?,No definite tumor staining in the parenchyme.,Multiple areas of contrast extravasation from peripheral branches of an artery.
87,10088,train/radiology/images/ROCO_50034.jpg,validation/radiology/images/ROCO_78617.jpg,20088,20064, Selective mesenteric angiography showing extravasation of contrast medium from a pseudoaneurysm originating from the inferior pancreaticoduodenal artery (arrow).," The angiogram shows a pseudo-aneurysm (white arrow) in the middle part of the right internal carotid artery at the nasopharyngeal level with the adjacent parent vessel, exhibiting moderate stenosis",['Gastrointestinal'],"['Cerebral', 'Vascular']",0.9065204,0.5104965,Which artery is the pseudoaneurysm originating from in this angiogram?,Inferior pancreaticoduodenal artery,Right internal carotid artery,A,B,Which artery is the pseudoaneurysm originating from in this angiogram?,Inferior pancreaticoduodenal artery,Right internal carotid artery
88,10089,train/radiology/images/ROCO_40786.jpg,validation/radiology/images/ROCO_79518.jpg,20197,20042, Upper gastrointestinal series shows an abrupt cutoff of the third portion of the duodenum and dilatations of the first and second portions of the duodenum., A large filling defect with central ulceration about 6×3 cm in size in the anterior wall side of the residual stomach body.,['Gastrointestinal'],['Gastrointestinal'],0.92301,0.6154286,What is observed in the anatomical structure regarding the duodenum?,Large filling defect with central ulceration,Abrupt cutoff and dilatation of portions of the duodenum,B,A,What is observed in the anatomical structure regarding the duodenum?,Large filling defect with central ulceration,Abrupt cutoff and dilatation of portions of the duodenum
